CGPA,IQ,Communication,Programming,Internship,Projects,Attendance,Placement
8.24,110,7,3,2,4,79,1
7.86,139,3,2,2,6,61,1
5.87,126,7,7,0,2,62,1
5.49,140,2,7,3,5,62,1
9.61,101,2,1,2,2,85,1
7.86,139,6,1,0,3,60,0
8.13,82,1,10,3,1,61,1
5.67,102,3,1,3,3,78,1
8.71,103,5,8,2,2,98,1
9.44,84,4,9,1,3,84,1
9.05,92,8,3,1,0,81,1
7.23,85,1,5,2,1,63,1
7.89,93,5,10,0,3,64,1
6.04,97,7,4,1,1,78,1
5.9,138,7,9,2,4,89,1
6.32,128,7,10,0,2,75,1
8.74,99,9,6,3,0,89,1
9.04,109,9,9,2,4,99,1
6.66,130,3,3,1,3,75,1
7.3,86,9,6,3,1,89,1
8.91,105,4,8,1,1,87,1
7.27,128,6,10,0,4,90,1
5.27,121,2,7,1,4,74,1
6.12,82,10,3,2,3,80,1
5.2,82,1,2,2,1,78,0
5.7,115,3,1,2,0,83,0
5.71,84,6,6,3,1,87,1
7.08,138,5,2,1,1,87,1
6.08,93,8,3,1,0,91,1
5.3,112,5,8,1,3,62,1
9.33,105,4,9,3,1,88,1
6.72,136,8,7,2,2,81,1
9.94,128,6,7,3,5,76,1
9.48,116,1,4,0,3,98,1
7.9,118,1,6,1,0,61,1
9.69,97,6,5,3,4,90,1
8.07,102,4,4,0,3,61,1
8.97,115,5,8,0,6,69,1
6.17,89,2,8,3,0,60,1
5.52,113,9,3,1,5,78,1
9.01,126,4,7,1,6,68,1
9.44,115,10,2,1,3,81,1
7.55,129,3,5,2,2,65,1
6.46,123,9,1,1,1,95,1
8.8,93,10,10,3,4,91,1
9.58,124,2,7,0,1,99,1
8.94,97,4,3,3,1,76,1
8.41,88,1,10,3,1,60,1
5.88,97,5,3,1,2,79,1
9.41,111,6,3,0,0,90,1
5.47,126,6,1,1,6,74,1
5.53,113,2,2,0,6,89,0
8.64,138,5,8,3,4,99,1
7.52,136,10,2,3,0,73,1
8.08,115,10,10,1,2,69,1
5.02,99,9,8,2,0,63,1
9.34,119,5,8,2,3,84,1
8.04,113,10,3,3,4,95,1
6.63,137,8,2,0,6,79,1
9.77,108,5,7,2,0,60,1
7.24,104,6,1,0,3,99,1
7.59,136,2,1,3,0,70,1
9.6,130,9,8,1,0,78,1
7.94,118,1,3,2,1,75,1
8.54,103,9,8,3,1,87,1
6.91,83,10,4,0,0,91,1
7.3,82,8,3,2,4,89,1
9.03,82,3,7,1,1,93,1
5.36,122,7,2,1,0,78,0
6.09,98,6,7,2,3,60,1
7.47,96,4,6,1,6,82,1
9.45,87,9,7,1,5,97,1
5.92,134,5,3,0,1,71,1
7.86,133,9,3,1,2,96,1
5.32,91,10,8,0,6,86,1
7.17,116,10,10,2,3,91,1
8.39,128,2,9,3,4,66,1
5.36,140,2,2,0,6,100,1
8.73,103,1,9,1,4,83,1
9.4,81,7,8,0,2,91,1
5.58,136,10,3,1,2,77,1
6.41,103,10,6,1,0,72,1
7.95,100,7,5,1,3,70,1
8.9,104,8,2,1,1,84,1
6.64,88,4,10,0,0,79,1
8.88,82,5,9,3,2,71,1
7.42,135,4,5,1,3,85,1
6.01,81,5,3,1,3,95,1
9.31,130,2,8,1,0,100,1
9.36,121,1,4,1,2,82,1
9.57,82,1,10,0,5,87,1
6.71,121,6,2,3,4,90,1
5.44,101,3,7,2,1,63,1
5.98,120,7,9,2,4,93,1
9.06,106,10,10,0,2,61,1
6.41,113,3,4,3,4,70,1
6.93,85,6,3,3,6,77,1
9.35,126,2,3,3,6,68,1
8.14,87,4,7,3,2,81,1
7.25,107,4,1,3,2,83,1
9.43,131,6,5,3,3,84,1
9.83,95,4,8,0,2,64,1
7.85,106,1,8,0,4,77,1
5.26,92,1,3,2,2,95,1
6.86,123,7,2,1,4,61,1
9.16,127,8,5,3,5,91,1
6.58,113,10,6,0,5,65,1
8.62,93,6,7,0,5,81,1
5.09,84,4,3,2,4,60,1
9.01,122,5,1,1,6,64,1
8.51,138,1,4,3,5,69,1
5.75,139,6,6,1,0,94,1
5.44,107,1,2,2,6,96,1
9.94,88,5,10,0,6,75,1
9.27,90,5,2,3,3,87,1
7.96,117,6,3,1,0,94,1
8.39,98,6,7,3,5,79,1
6.73,114,3,6,0,5,78,1
5.38,130,7,7,1,3,70,1
8.22,124,6,9,3,4,87,1
8.64,133,10,9,3,4,89,1
5.81,80,2,4,0,2,66,0
9.8,85,5,3,1,0,75,1
7.65,110,1,1,0,1,92,0
6.15,83,10,7,0,0,88,1
7.06,121,4,8,3,4,76,1
6.09,129,7,8,1,5,80,1
7.4,124,10,3,1,3,76,1
7.99,83,1,8,2,3,62,1
7.35,112,4,7,1,5,71,1
5.48,101,5,4,1,1,86,1
8.02,130,2,8,0,6,74,1
9.7,137,4,9,0,2,79,1
5.51,106,2,6,0,5,96,1
5.4,105,3,3,0,5,86,0
7.56,89,1,10,0,6,77,1
6.23,128,8,9,2,6,97,1
5.32,113,4,4,2,4,97,1
5.78,128,10,8,1,5,99,1
6.66,118,3,9,3,4,79,1
8.4,132,1,4,0,1,65,1
9.13,104,4,6,3,6,87,1
8.51,132,2,7,2,6,97,1
8.29,137,1,6,2,3,91,1
9.85,120,6,1,3,4,67,1
9.14,130,6,5,3,4,97,1
6.01,122,10,8,1,1,94,1
8.63,100,6,10,3,5,72,1
9.43,114,4,2,1,4,72,1
5.23,108,4,7,3,5,97,1
8.81,131,9,4,2,4,62,1
9.05,84,3,1,3,5,76,1
8.92,127,1,9,0,3,64,1
9.45,126,6,5,0,1,84,1
8.18,86,10,2,1,4,67,1
8.45,108,8,7,0,6,69,1
6.37,119,10,6,1,1,89,1
6.78,139,1,8,0,6,100,1
6.55,99,8,2,0,1,89,1
7.77,115,5,7,1,6,64,1
7.0,81,9,3,2,3,64,1
5.69,130,10,7,2,2,78,1
7.05,138,2,3,2,1,86,1
8.0,111,3,1,1,4,98,1
8.25,130,8,10,3,0,85,1
8.85,111,2,9,2,4,90,1
6.8,118,3,2,2,1,83,1
7.79,126,5,8,2,2,66,1
6.95,114,10,3,2,6,94,1
8.02,140,1,4,0,0,71,1
6.7,123,1,9,2,6,80,1
9.13,134,10,6,1,0,99,1
8.78,113,8,4,2,6,83,1
8.43,128,10,9,1,5,78,1
5.61,109,7,1,3,2,96,1
9.28,98,2,1,0,6,100,1
6.75,98,6,6,2,2,97,1
7.5,130,8,9,3,6,85,1
6.72,119,3,9,0,3,92,1
6.9,83,7,2,2,3,96,1
5.06,133,8,1,0,3,84,1
6.03,85,6,5,1,5,96,1
8.46,128,1,7,0,0,78,1
5.6,125,4,8,1,6,68,1
8.19,114,8,5,2,4,85,1
8.16,115,2,5,0,5,81,1
6.73,98,3,9,2,0,94,1
9.37,95,4,5,0,4,65,1
6.55,125,4,9,3,5,84,1
7.01,102,2,10,2,4,76,1
9.22,114,4,6,1,6,95,1
8.52,129,10,5,2,6,90,1
8.7,133,6,3,2,5,84,1
9.0,80,10,4,0,4,67,1
6.06,95,8,3,0,0,69,0
6.04,103,2,6,1,5,73,1
8.52,87,7,2,3,3,63,1
7.13,117,3,4,0,2,84,1
7.08,111,5,9,3,3,97,1
8.39,139,8,4,0,3,63,1
7.45,113,2,1,3,0,98,1
7.48,137,1,2,2,3,70,1
6.64,132,4,4,0,2,81,1
5.63,118,7,4,3,3,98,1
9.73,124,5,6,1,5,95,1
9.63,105,9,4,3,4,68,1
5.08,98,10,3,2,3,79,1
8.93,96,4,3,2,5,99,1
5.33,120,10,5,2,3,71,1
5.46,119,7,8,3,1,76,1
6.98,82,10,7,2,4,61,1
7.28,86,10,10,1,4,100,1
5.45,96,1,1,2,3,75,0
